color,director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,0,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,movie_imdb_link,num_user_for_reviews,language,country,content_rating,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes
Color,Colin Trevorrow,644,124,365,1000,Judy Greer,3000,652177271,5,Bryce Dallas Howard,Jurassic World ,418214,8458,Omar Sy,0,dinosaur|disaster film|experiment gone wrong|jurassic park|velociraptor,http://www.imdb.com/title/tt0369610/?ref_=fn_tt_tt_1,1290,English,USA,PG-13,150000000,2015,2000,7,2,150000
Color,Sam Mendes,750,143,0,393,Helen McCrory,883,304360277,2,Albert Finney,Skyfall ,522030,2039,Rory Kinnear,0,brawl|childhood home|computer cracker|intelligence agency|terrorist cell,http://www.imdb.com/title/tt1074638/?ref_=fn_tt_tt_1,1498,English,UK,PG-13,200000000,2012,563,7.8,2.35,80000
Color,Sam Raimi,300,135,0,4000,James Franco,24000,373377893,8,J.K. Simmons,Spider-Man 2 ,411164,43388,Kirsten Dunst,1,death|doctor|scientist|super villain|tentacle,http://www.imdb.com/title/tt0316654/?ref_=fn_tt_tt_1,1303,English,USA,PG-13,200000000,2004,11000,7.3,2.35,0
Color,Shane Black,608,195,1000,3000,Jon Favreau,21000,408992272,6,Robert Downey Jr.,Iron Man 3 ,557489,30426,Don Cheadle,3,armor|explosion|human bomb|missile attack|terrorist,http://www.imdb.com/title/tt1300854/?ref_=fn_tt_tt_1,1187,English,USA,PG-13,200000000,2013,4000,7.2,2.35,95000
Color,Tim Burton,451,108,13000,11000,Alan Rickman,40000,334185206,10,Johnny Depp,Alice in Wonderland ,306320,79957,Anne Hathaway,0,alice in wonderland|mistaking reality for dream|queen|shrinking|shrinking potion,http://www.imdb.com/title/tt1014759/?ref_=fn_tt_tt_1,736,English,USA,PG,200000000,2010,25000,5,1.85,24000
Color,Brett Ratner,334,104,420,560,Kelsey Grammer,20000,234360014,3,Hugh Jackman,X-Men: The Last Stand ,383427,21714,Daniel Cudmore,0,battle|mutant|outrage|walking through a wall|x men,http://www.imdb.com/title/tt0376994/?ref_=fn_tt_tt_1,1912,English,Canada,PG-13,210000000,2006,808,6.8,2.35,0
Color,Dan Scanlon,376,104,37,760,Tyler Labine,12000,268488329,4,Steve Buscemi,Monsters University ,235025,14863,Sean Hayes,0,cheating|fraternity|monster|singing in a car|university,http://www.imdb.com/title/tt1453405/?ref_=fn_tt_tt_1,265,English,USA,G,200000000,2013,779,7.3,1.85,44000
Color,Michael Bay,366,150,0,464,Kevin Dunn,894,402076689,6,Glenn Morshower,Transformers: Revenge of the Fallen ,323207,3218,Ramon Rodriguez,0,autobot|decepticon|machine|sun|symbol,http://www.imdb.com/title/tt1055369/?ref_=fn_tt_tt_1,1439,English,USA,PG-13,200000000,2009,581,6,2.35,0
Color,Michael Bay,378,165,0,808,Sophia Myles,974,245428137,6,Bingbing Li,Transformers: Age of Extinction ,242420,3988,Kelsey Grammer,2,blockbuster|bumblebee the character|semi truck and trailer|texas|truck,http://www.imdb.com/title/tt2109248/?ref_=fn_tt_tt_1,918,English,USA,PG-13,210000000,2014,956,5.7,2.35,56000
Color,Sam Raimi,525,130,0,11000,Mila Kunis,44000,234903076,10,Tim Holmes,Oz the Great and Powerful ,175409,73441,James Franco,4,circus|magic|magician|oz|witch,http://www.imdb.com/title/tt1623205/?ref_=fn_tt_tt_1,511,English,USA,PG,215000000,2013,15000,6.4,2.35,60000
Color,Marc Webb,495,142,464,825,Andrew Garfield,15000,202853933,3,Emma Stone,The Amazing Spider-Man 2 ,321227,28631,B.J. Novak,0,costumed hero|death of girlfriend|masked vigilante|returning character killed off|teenager,http://www.imdb.com/title/tt1872181/?ref_=fn_tt_tt_1,1067,English,USA,PG-13,200000000,2014,10000,6.7,2.35,41000
Color,Joseph Kosinski,469,125,364,1000,Olivia Wilde,12000,172051787,6,Jeff Bridges,TRON: Legacy ,264183,25550,James Frain,0,arcade|bridge|disappearance|escape|warrior,http://www.imdb.com/title/tt1104001/?ref_=fn_tt_tt_1,665,English,USA,PG,170000000,2010,10000,6.8,2.35,30000
Color,John Lasseter,304,106,487,776,Thomas Kretschmann,1000,191450875,4,Joe Mantegna,Cars 2 ,101178,4482,Eddie Izzard,0,best friend|car race|conspiracy|gadget car|spy,http://www.imdb.com/title/tt1216475/?ref_=fn_tt_tt_1,283,English,USA,G,200000000,2011,919,6.3,2.35,10000
Color,Martin Campbell,436,123,258,326,Temuera Morrison,16000,116593191,6,Ryan Reynolds,Green Lantern ,223393,17657,Taika Waititi,2,autopsy|lantern|planet|ring|test pilot,http://www.imdb.com/title/tt1133985/?ref_=fn_tt_tt_1,550,English,USA,PG-13,200000000,2011,368,5.6,2.35,24000
Color,Lee Unkrich,453,103,125,721,John Ratzenberger,15000,414984497,4,Tom Hanks,Toy Story 3 ,544884,19085,Don Rickles,3,college|day care|escape|teddy bear|toy,http://www.imdb.com/title/tt0435761/?ref_=fn_tt_tt_1,733,English,USA,G,200000000,2010,1000,8.3,1.85,30000
Color,McG,422,118,368,988,Bryce Dallas Howard,23000,125320003,6,Christian Bale,Terminator Salvation ,286095,27468,Common,0,death row|future|machine|rescue|skynet,http://www.imdb.com/title/tt0438488/?ref_=fn_tt_tt_1,974,English,USA,PG-13,200000000,2009,3000,6.6,2.35,0
Color,James Wan,424,140,0,14000,Paul Walker,26000,350034110,20,Jason Statham,Furious 7 ,278232,79150,Vin Diesel,0,car falling off a cliff|hospital|revenge|star died before release|terrorist,http://www.imdb.com/title/tt2820852/?ref_=fn_tt_tt_1,657,English,USA,PG-13,190000000,2015,23000,7.2,2.35,94000
Color,Marc Forster,654,123,395,1000,Brad Pitt,17000,202351611,5,Peter Capaldi,World 14 Z ,465019,32392,Mireille Enos,0,chaos|disease|infection|pandemic|zombie,http://www.imdb.com/title/tt0816711/?ref_=fn_tt_tt_1,995,English,USA,PG-13,190000000,2013,11000,7,2.35,129000
Color,Bryan Singer,539,149,0,20000,Peter Dinklage,34000,233914986,3,Jennifer Lawrence,X-Men: Days of Future Past ,514125,91434,Hugh Jackman,7,dystopia|super strength|supernatural power|time paradox|time travel,http://www.imdb.com/title/tt1877832/?ref_=fn_tt_tt_1,752,English,USA,PG-13,200000000,2014,22000,8,2.35,82000
Color,J.J. Abrams,590,132,14000,928,Bruce Greenwood,19000,228756232,6,Benedict Cumberbatch,Star Trek Into Darkness ,395573,21411,Noel Clarke,0,admiral|captain|manhunt|mission|space,http://www.imdb.com/title/tt1408101/?ref_=fn_tt_tt_1,1171,English,USA,PG-13,190000000,2013,981,7.8,2.35,92000
Color,Bryan Singer,338,114,0,140,Ewen Bremner,979,65171860,3,Eddie Marsan,Jack the Giant Slayer ,106416,1766,Ralph Brown,1,bean|giant|king|no opening credits|princess,http://www.imdb.com/title/tt1351685/?ref_=fn_tt_tt_1,205,English,USA,PG-13,195000000,2013,557,6.3,2.35,22000
Color,Baz Luhrmann,490,143,1000,77,Elizabeth Debicki,29000,144812796,8,Leonardo DiCaprio,The Great Gatsby ,362912,29770,Steve Bisley,4,ingratitude|mansion|party|title appears in writing|tragedy,http://www.imdb.com/title/tt1343092/?ref_=fn_tt_tt_1,753,English,Australia,PG-13,105000000,2013,509,7.3,2.35,115000
Color,Mike Newell,306,116,179,236,Richard Coyle,15000,90755643,8,Jake Gyllenhaal,Prince of Persia: The Sands of Time ,222403,16149,Reece Ritchie,2,alamut|dagger|king|persia|princess,http://www.imdb.com/title/tt0473075/?ref_=fn_tt_tt_1,453,English,USA,PG-13,200000000,2010,567,6.6,2.35,23000
Color,Guillermo del Toro,575,131,0,919,Clifton Collins Jr.,16000,101785482,6,Charlie Hunnam,Pacific Rim ,381148,19166,Larry Joe Campbell,0,giant monster|kaiju|pilot|portal|robot,http://www.imdb.com/title/tt1663662/?ref_=fn_tt_tt_1,1106,English,USA,PG-13,190000000,2013,968,7,1.85,83000
Color,Michael Bay,428,154,0,581,Lester Speight,894,352358779,6,Glenn Morshower,Transformers: Dark of the Moon ,326180,2593,Kevin Dunn,2,autobot|decepticon|job interview|moon|spacecraft,http://www.imdb.com/title/tt1399103/?ref_=fn_tt_tt_1,899,English,USA,PG-13,195000000,2011,829,6.3,2.35,46000
Color,Steven Spielberg,470,122,14000,1000,Ray Winstone,11000,317011114,3,Harrison Ford,Indiana Jones and the Kingdom of the Crystal Skull ,333847,14959,Jim Broadbent,2,cult figure|femme fatale|indiana jones|unsubtitled foreign language|year 1957,http://www.imdb.com/title/tt0367882/?ref_=fn_tt_tt_1,2054,English,USA,PG-13,185000000,2008,1000,6.2,2.35,5000
Color,Peter Sohn,298,93,113,113,Jack McGraw,275,123070338,4,A.J. Buckley,The Good Dinosaur ,62836,696,Peter Sohn,0,apatosaurus|asteroid|dinosaur|fear|river,http://www.imdb.com/title/tt1979388/?ref_=fn_tt_tt_1,345,English,USA,PG,,2015,150,6.8,2.35,20000
Color,Mark Andrews,488,93,56,838,John Ratzenberger,2000,237282182,4,Kelly Macdonald,Brave ,273556,5005,Julie Walters,0,archery|coming of age|female warrior|princess|rebellious daughter,http://www.imdb.com/title/tt1217209/?ref_=fn_tt_tt_1,428,English,USA,PG,185000000,2012,1000,7.2,2.35,39000
Color,Justin Lin,322,122,681,105,Melissa Roxburgh,998,130468626,5,Sofia Boutella,Star Trek Beyond ,53607,1327,Lydia Wilson,4,hatred|sequel|space opera|star trek|third part,http://www.imdb.com/title/tt2660888/?ref_=fn_tt_tt_1,432,English,USA,PG-13,185000000,2016,119,7.5,2.35,30000
Color,Andrew Stanton,421,98,475,522,Fred Willard,1000,223806889,4,John Ratzenberger,WALL E ,718837,2975,Jeff Garlin,0,earth|obesity|plant|robot|soil,http://www.imdb.com/title/tt0910970/?ref_=fn_tt_tt_1,1043,English,USA,G,180000000,2008,729,8.4,2.35,16000
Color,Brett Ratner,162,91,420,173,Dana Ivey,268,140080850,1,Tzi Ma,Rush Hour 3 ,121084,1125,No mie Lenoir,2,ambassador|assassination|chinese|french|triad,http://www.imdb.com/title/tt0293564/?ref_=fn_tt_tt_1,221,English,USA,PG-13,140000000,2007,268,6.2,2.35,0
Color,Roland Emmerich,367,158,776,310,Liam James,1000,166112167,6,Oliver Platt,2012,283418,2144,Tom McCarthy,0,ark|catastrophe|geologist|president|writer,http://www.imdb.com/title/tt1190080/?ref_=fn_tt_tt_1,1055,English,USA,PG-13,200000000,2009,468,5.8,2.35,13000
Color,Robert Zemeckis,240,96,0,10000,Colin Firth,18000,137850096,4,Robin Wright,A Christmas Carol ,72809,48878,Gary Oldman,0,charles dickens|christmas|christmas eve|ghost|scrooge,http://www.imdb.com/title/tt1067106/?ref_=fn_tt_tt_1,249,English,USA,PG,200000000,2009,14000,6.8,2.35,0
Color,Lana Wachowski,384,127,0,13000,Mila Kunis,17000,47375327,6,Channing Tatum,Jupiter Ascending ,139593,47334,Eddie Redmayne,1,box office flop|critically bashed|planet earth|space opera|woman in bra and panties,http://www.imdb.com/title/tt1617661/?ref_=fn_tt_tt_1,720,English,USA,PG-13,176000000,2015,15000,5.4,2.35,44000
Color,David Yates,248,110,282,103,Alexander Skarsg rd,11000,124051759,8,Christoph Waltz,The Legend of Tarzan ,42372,21175,Casper Crump,2,africa|capture|jungle|male objectification|tarzan,http://www.imdb.com/title/tt0918940/?ref_=fn_tt_tt_1,239,English,USA,PG-13,180000000,2016,10000,6.6,2.35,29000
Color,Andrew Adamson,284,150,80,82,Kiran Shah,1000,291709845,10,Jim Broadbent,"The Chronicles of Narnia: The Lion, the Witch and the 14drobe ",286506,1317,Shane Rangi,5,hide and seek|lion|magic|professor|snow,http://www.imdb.com/title/tt0363771/?ref_=fn_tt_tt_1,1463,English,USA,PG,180000000,2005,190,6.9,2.35,0
Color,Bryan Singer,396,144,0,1000,Michael Fassbender,34000,154985087,6,Jennifer Lawrence,X-Men: Apocalypse ,148379,49684,Tye Sheridan,6,mutant|superhero|superhero team|x men|year 1983,http://www.imdb.com/title/tt3385516/?ref_=fn_tt_tt_1,622,English,USA,PG-13,178000000,2016,13000,7.3,2.35,54000
Color,Christopher Nolan,645,152,22000,11000,Heath Ledger,23000,533316061,12,Christian Bale,The Dark Knight ,1676169,57802,Morgan Freeman,0,based on comic book|dc comics|psychopath|star died before release|urban setting,http://www.imdb.com/title/tt0468569/?ref_=fn_tt_tt_1,4667,English,USA,PG-13,185000000,2008,13000,9,2.35,37000
Color,Pete Docter,408,96,0,262,Delroy Lindo,1000,292979556,4,John Ratzenberger,Up ,665575,2635,Jess Harnell,1,balloon|house|promise|retirement|skeleton,http://www.imdb.com/title/tt1049413/?ref_=fn_tt_tt_1,704,English,USA,PG,175000000,2009,848,8.3,1.85,27000
Color,Rob Letterman,219,94,11,459,Rainn Wilson,1000,198332128,4,Amy Poehler,Monsters vs. Aliens ,114553,2579,Stephen Colbert,2,alien|alien invasion|alien space craft|giant|giantess,http://www.imdb.com/title/tt0892782/?ref_=fn_tt_tt_1,187,English,USA,PG,175000000,2009,973,5,2.35,0
Color,Jon Favreau,486,126,4000,4000,Jeff Bridges,21000,318298180,6,Robert Downey Jr.,Iron Man ,696338,39252,Jon Favreau,3,afghanistan|billionaire|inventor|playboy|u.s. air force,http://www.imdb.com/title/tt0371746/?ref_=fn_tt_tt_1,1055,English,USA,PG-13,140000000,2008,12000,7.9,2.35,10000
Color,Martin Scorsese,682,126,17000,1000,Christopher Lee,17000,73820094,2,Chlo  Grace Moretz,Hugo ,245333,36017,Ray Winstone,0,automaton|mechanical|railway station|steampunk|train,http://www.imdb.com/title/tt0970179/?ref_=fn_tt_tt_1,678,English,USA,PG,170000000,2011,16000,7.5,1.85,42000
Color,Barry Sonnenfeld,85,106,188,582,Salma Hayek,10000,113745408,1,Will Smith,Wild Wild West ,129601,15870,Bai Ling,2,buddy movie|general|inventor|steampunk|utah,http://www.imdb.com/title/tt0120891/?ref_=fn_tt_tt_1,648,English,USA,PG-13,170000000,1999,4000,4.8,1.85,0
Color,Rob Cohen,264,112,357,595,Brendan Fraser,5000,102176165,3,Jet Li,The Mummy: Tomb of the Dragon Emperor ,117927,9131,Russell Wong,2,army|china|emperor|mummy|shangri la,http://www.imdb.com/title/tt0859163/?ref_=fn_tt_tt_1,501,English,USA,PG-13,145000000,2008,3000,5.2,2.35,0
Color,David Ayer,418,123,452,329,Robin Atkin Downes,10000,161087183,2,Will Smith,Suicide Squad ,118992,11287,Ike Barinholtz,8,based on comic book|critically bashed|father daughter relationship|reference to superman|super villain,http://www.imdb.com/title/tt1386697/?ref_=fn_tt_tt_1,971,English,USA,PG-13,175000000,2016,336,6.9,2.35,80000
Color,Tom Shadyac,186,96,293,7000,Morgan Freeman,87000,100289690,9,Jimmy Bennett,Evan Almighty ,115099,108016,Steve Carell,0,ark|change|congressman|depiction of god|flood,http://www.imdb.com/title/tt0413099/?ref_=fn_tt_tt_1,257,English,USA,PG,175000000,2007,11000,5.4,2.35,2000
Color,Doug Liman,585,113,218,509,Lara Pulver,10000,100189501,6,Tom Cruise,Edge of Tomorrow ,431620,12652,Noah Taylor,1,alien|combat|dying repeatedly|end of the world|time loop,http://www.imdb.com/title/tt1631867/?ref_=fn_tt_tt_1,741,English,USA,PG-13,178000000,2014,854,7.9,2.35,77000
Color,Kevin Reynolds,91,176,58,60,Rick Aviles,711,88246220,5,Jeanne Tripplehorn,Waterworld ,144337,1004,Zakes Mokae,0,future|sail|sea|smoker|water,http://www.imdb.com/title/tt0114898/?ref_=fn_tt_tt_1,309,English,USA,PG-13,175000000,1995,60,6.1,1.85,0
Color,Stephen Sommers,250,118,208,570,Dennis Quaid,23000,150167630,5,Joseph Gordon-Levitt,G.I. Joe: The Rise of Cobra ,174578,26683,Leo Howard,4,cobra|gi joe|snake|train|warhead,http://www.imdb.com/title/tt1046173/?ref_=fn_tt_tt_1,534,English,USA,PG-13,175000000,2009,2000,5.8,2.35,0
Color,Pete Docter,536,95,0,384,Mindy Kaling,1000,356454367,4,Amy Poehler,Inside Out ,345198,2944,Phyllis Smith,1,anger|joy|memory|running away|sadness,http://www.imdb.com/title/tt2096673/?ref_=fn_tt_tt_1,773,English,USA,PG,175000000,2015,767,8.3,1.85,118000
Color,Jon Favreau,370,106,4000,591,Bill Murray,19000,362645141,2,Scarlett Johansson,The Jungle Book ,106072,32921,Garry Shandling,0,fire|jungle|remake|tiger|wolf,http://www.imdb.com/title/tt3040964/?ref_=fn_tt_tt_1,398,English,UK,PG,175000000,2016,13000,7.8,1.85,65000
Color,Jon Favreau,453,124,4000,4000,Scarlett Johansson,21000,312057433,6,Robert Downey Jr.,Iron Man 2 ,522371,48638,Jon Favreau,4,hammer|military|monaco|revenge|tony stark,http://www.imdb.com/title/tt1228705/?ref_=fn_tt_tt_1,723,English,USA,PG-13,200000000,2010,19000,7,2.35,18000
Color,Rupert Sanders,416,132,274,11000,Kristen Stewart,26000,155111815,13,Chris Hemsworth,Snow White and the Huntsman ,228554,72881,Sam Claflin,0,evil queen|fairy tale|magic|queen|snow white,http://www.imdb.com/title/tt1735898/?ref_=fn_tt_tt_1,710,English,USA,PG-13,170000000,2012,17000,6.1,2.35,53000
Color,Robert Stromberg,401,97,171,846,Sharlto Copley,11000,241407328,2,Angelina Jolie Pitt,Maleficent ,252257,15516,Sam Riley,2,curse|dark 3|fairy|king|kingdom,http://www.imdb.com/title/tt1587310/?ref_=fn_tt_tt_1,634,English,USA,PG,180000000,2014,2000,7,2.35,89000
Color,Matt Reeves,521,130,198,884,Judy Greer,10000,208543795,12,Gary Oldman,Dawn of the Planet of the Apes ,317542,14363,Kodi Smit-McPhee,0,ape|dam|leader|post apocalypse|sequel,http://www.imdb.com/title/tt2103281/?ref_=fn_tt_tt_1,620,English,USA,PG-13,170000000,2014,2000,7.6,1.85,45000
